""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"ARID3A"	1.17672546728627	0.586010107355401	3.35067856318548	0.00149785595268441	0.0096424476954059	-1.60813412261337	"c3 vs. c2"	1.17003599047684	-0.00668947680943008
"SPI1"	-0.880022096787384	0.358863924310348	-3.15450925361519	0.0026577326519527	0.0161027331265369	-2.13993603208737	"c3 vs. c2"	0.261611483677251	1.14163358046464
"FOXM1"	-1.03738035902355	0.438459443896958	-2.88301319521718	0.00569362094349524	0.0325801642877783	-2.83946131646288	"c3 vs. c2"	0.41291296647294	1.45029332549649
"EBF1"	-0.847130726139953	0.42460185076876	-2.73156620180534	0.00856102762410867	0.0419898021563425	-3.20991748405564	"c3 vs. c2"	0.47247207902625	1.3196028051662
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"PML"	1.43040372539991	0.600280969563611	5.93125761272355	2.38504606039057e-07	2.45659744220229e-05	6.74578666505068	"c3 vs. c4"	1.4761852270008	0.0457815016008929
"STAT5A"	1.24269191331716	0.589696363590567	4.9952222042048	6.8525101468709e-06	0.000247401528685212	3.49844137346639	"c3 vs. c4"	1.45848115940974	0.215789246092585
"MBD4"	-1.0211947551691	0.296723055136489	-4.92442911226907	8.78123034285993e-06	0.000247401528685212	3.25965331214693	"c3 vs. c4"	0	1.0211947551691
"NR2F2"	1.11827394831663	0.403083554601956	4.89867401307805	9.60782635670728e-06	0.000247401528685212	3.17307982323133	"c3 vs. c4"	1.32098342096486	0.202709472648222
"GATA2"	1.35772697745769	0.513073811350122	4.72394624459516	1.76187258642205e-05	0.000362945752802942	2.59021587027069	"c3 vs. c4"	1.67475084761414	0.317023870156454
"GATA1"	1.87988554191552	0.611172004902522	4.14888848900201	0.00012250210558293	0.00210295281250696	0.736100883858382	"c3 vs. c4"	2.01474632597304	0.134860784057519
"CCNT2"	1.11462435502492	0.427354565005202	4.05188684217626	0.00016822102633906	0.0024752522447033	0.434642072085141	"c3 vs. c4"	1.20987720519703	0.0952528501721075
"TAL1"	1.28285807654441	0.483697172956424	3.9833496993834	0.000210063522512992	0.00270456785235478	0.223863805343646	"c3 vs. c4"	1.48356895486799	0.200710878323579
"SMARCA4"	1.04316631119813	0.329399740278937	3.61064675679079	0.000681717437594142	0.00780187734135518	-0.887374267008351	"c3 vs. c4"	1.1593208714104	0.116154560212266
"HNF4G"	-0.730295636821999	0.251662930764791	-3.54565684169491	0.000832283969232137	0.00857252488309102	-1.07463260844442	"c3 vs. c4"	0	0.730295636821999
"TBL1XR1"	0.795557307025652	0.551824125484311	3.41277727362335	0.00124450165686337	0.0116530609688116	-1.45099052626437	"c3 vs. c4"	0.894487178800858	0.0989298717752062
