alzheimers_disease	blood_pressure	bmi	bone_mineral_density	breast_cancer	celiac_disease	cholesterol	chronic_kidney_disease	colorectal_cancer	c-reactive_protein	fasting_plasma_glucose	height	hematological_parameters	hypertension	inflammatory_bowel_disease	mean_corpuscular_volume	mean_platelet_volume	menarche_age_at_onset	menopause_age_at_onset	metabolic_syndrome	metabolic_traits	metabolite_levels	multiple_sclerosis	myocardial_infarction	parkinsons_disease	phospholipid_levels_plasma	platelet_counts	primary_biliary_cirrhosis	prostate_cancer	psoriasis	pulmonary_function	qt_interval	rheumatoid_arthritis	triglycerides	type_1_diabetes	type_2_diabetes	ventricular_conduction	vitiligo
SIRT6	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0334158415842	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
BRF2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SMARCC1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.254594941766	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0468836224784	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.151215230811	-1.0	-1.0	-1.0	-1.0	-1.0	0.156642243402	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
FOSL2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.125737525081	0.263304090991	0.0140350270448	-1.0	-1.0	-1.0	-1.0	-1.0	0.574401852741	-1.0	-1.0	-1.0	0.187326739085	-1.0	-1.0	-1.0	0.303762055949	-1.0	-1.0	-1.0	-1.0	-1.0	0.0491277183551	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ZKSCAN1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0151827450403	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
RELA	-1.0	-1.0	-1.0	-1.0	-1.0	0.305912697808	-0.616969269104	0.37753429371	-1.0	-1.0	-1.0	0.456210813601	-1.0	-1.0	0.364070287105	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.226586639919	-1.0	0.0876596381114	-1.0	-1.0	-1.0	0.275148495735	-1.0	0.226586639919	-1.0	-1.0	0.00084975829303	-1.0	0.0751938077981	-1.0	-1.0	-1.0
EP300	0.407706993398	-1.0	-0.397071078653	-0.617738819277	0.494493259443	0.591149012884	-0.724045683053	-1.0	0.155581193134	0.407706993398	0.494493259443	0.626489173968	-1.0	0.0873374251841	0.536673305409	0.375670036576	0.545320219204	-0.392661858544	0.545320219204	-1.0	-0.63709510159	0.467041900023	-1.0	0.34672590174	-1.0	0.591149012884	-1.0	-1.0	0.0428390147724	0.467041900023	-1.0	-1.0	0.0873374251841	-0.621422027417	-0.621422027417	-0.617738819277	0.250198865025	-1.0
RPC155	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.029702970297	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CCNT2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0723457768907	-1.0	-1.0	0.058201339392	-1.0	-1.0	-1.0	-1.0	0.122849672972	-1.0	0.127336375412	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ESR1	-1.0	0.23266829706	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.161193978232	-1.0	-1.0	0.115570600831	-1.0	-1.0	0.166160629604	-1.0	-1.0	-1.0	0.171758285811	-1.0	-1.0	0.139700771957	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.23266829706	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
