Bone_mineral_density	Red_blood_cell_traits	Vitiligo	HDL_cholesterol	Platelet_counts	Primary_biliary_cirrhosis	Type_1_diabetes	Renal_function_related_traits_BUN	Alopecia_areata	Ankylosing_spondylitis	Multiple_sclerosis	Rheumatoid_arthritis	Kawasaki_disease	Liver_enzyme_levels_gamma_glutamyl_transferase	C_reactive_protein	LDL_cholesterol	Ulcerative_colitis	Restless_legs_syndrome	Urate_levels	Celiac_disease	Crohns_disease	Behcets_disease	Systemic_lupus_erythematosus	Atopic_dermatitis	Triglycerides	Psoriasis	Primary_sclerosing_cholangitis	Migraine	Allergy	Chronic_kidney_disease	Fasting_glucose_related_traits	Autoimmune_thyroiditis	Alzheimers_combined	Type_2_diabetes	Systemic_sclerosis	Asthma	Creatinine_levels	Progressive_supranuclear_palsy	Juvenile_idiopathic_arthritis
E047-H3K4me1	0.621601176981096	0.872887776162119	1.00181064599948	0.693328688472659	0.971816675468831	1.47907163767214	1	1	1	1.019885566162	1.93990950631577	1	0.681753752181802	0.716223821604468	0.569126924582386	0.439780643094783	1.1594675191209	1	0.87423125691945	1.47584314584688	1.32979112963548	1	1.45566707890653	1	0.957449626291593	1	1	1	1.06604694649087	0.488731869853548	0.740193053843311	1.51914110498049	0.522058450266199	0.774818734736996	1.43804538651828	0.725942799908704	1	1	1
E041-H3K27ac	0.449019427445093	1	1	0.730315030040874	1	2.07110716479371	1	0.719941941466426	1.1627933418774	1.30832250714013	1.65779023424811	1.19314223797077	1	0.471915696357169	0.578211702087784	0.575537463569523	1	0.673906869691209	0.492841748783826	2.16914768611368	1.43696753991981	1.1627933418774	1.56610827494094	1	0.830027765280148	1.09338145711046	1.18776838291989	1	1.30811896530532	0.65661543699017	0.671888756616329	1.30344240362154	0.382310792498791	0.580833624992561	2.34164930685349	1	0.370993890378552	1	1.17994120959808
E045-H3K36me3	0.87707922590218	1.03453093529878	1	1	1	1.30127329553847	1	0.642718346400969	1	1.43287152490012	1	1	1	0.909227530474837	0.935954737397807	1	1	0.626240296976624	0.866562892876837	1	1.10907262404991	1	1	0.918379764211706	1	1	1	1	1	0.912432787089284	1	1	1	1	3.11836085833818	1	1	1	1
E042-H3K27ac	0.522241960434074	0.938594034762887	1	0.819804248918153	1	1.37963180524556	1.04987285643018	1	1.600773918464	1.04886873526126	1.31118056273371	1.26110214618425	1	0.528244360068196	0.861673771455594	0.786191726749583	1.05816918325252	1	0.66373135732362	2.08537742744054	1.22736465902655	1	1.24213785050381	1	0.929979206417696	1	1	1.0031994210809	1.15182655410289	0.693182946715837	0.581449969301587	1.0811879629108	0.658155202129206	0.70249544657448	2.07187664068671	1	0.721047515443807	1	1.26782472582623
E046-H3K4me3	0.904763475584232	1	1	0.905107938313169	0.941913342267188	1.28862546565322	0.973857735808009	1	1.43500197510124	1	1.42678535320951	1	1.78149258663441	1	1	1	1	1	0.877148089151473	1	1.05922806283747	1	1.39213377113406	1	1	1	0.970900703203904	1	1	1	0.896760349107985	1	0.600893957215975	0.835711066814002	1	1	1	1	1.24313660463555
E116-H3K9me3	1	1	1	1	0.759222322850146	1	1	0.280604713998401	1	1	1.0777989226239	1.49776659735277	1	0.558775521525405	1.06447496583406	0.826556541695337	1.11213772722349	0.530182685188152	1	1.10099557943858	1.0088176487025	1	1.56194331048933	1	0.852151183156696	1.27503368928324	1	0.785308195121897	1.25377348579646	0.832530320217586	1	1	1	0.818568411477428	0.569055930052424	1	1	1	1
E041-H3K36me3	0.759805585694055	1	1	1	1	1.51309374593121	1	0.543328276710666	1	1.53435922214175	1.11826833233954	1	1	0.919007501038157	0.971277697504399	1	1	0.86752664449952	0.620745752847993	1.27037941014102	1.16724806888753	1	1	0.781832813027179	1.00296471777059	1	1.22230179872055	1	1	0.791506022111003	0.694898393230495	1	0.931775994166688	0.946174620388443	3.43632467463495	1	0.952216255864927	1	1
E043-H3K36me3	0.956423427645154	1	1	1	1.16713263997422	1.32068182708782	1	0.601122689094947	1	1.44032452672353	1.01949397359782	1	1	0.668187371541206	0.868294417509712	1	1	1	0.752880292851669	1.02960937932465	1.00250216114195	1	1	0.916303019501786	1.02601790311068	1	1	1	1	0.851287610725161	0.956342393257167	1	1	1	3.26413958698234	1	0.987573061999964	1	1
E042-H3K4me3	0.710098542227039	0.816139895446145	1	0.879880387954104	0.870085084891106	1.24911587324136	1	1	1.2389168392435	1	1.46744167259208	1	1	0.746391948486474	0.882052023676798	0.759905363951006	1	0.657108098384815	1	1.62302563941399	1.13251464955344	1	1.19748432574788	1	0.779133638026348	1	1	1	1	0.560251635218457	1	1	0.798049835469451	0.695271714955118	1.12296107759366	1	1	1	1.01927194118346
E034-H3K4me3	0.788671047826628	0.906752194675894	1	0.617752473920477	1	1	1	1	1.35281391745632	1.03074107393609	1.81511919937786	1	1.21210868027907	0.88872418763572	0.869660422499262	0.890497470943008	1	1	1	1.32702660342965	1.17855992588118	1	1.2692704004768	1	0.680887334230805	1	1	1	1	0.768686023242936	1	1.30019175522566	0.812881189029922	0.706826558648049	1	0.736914424311065	1	1	1
