alzheimers_disease	blood_pressure	bmi	bone_mineral_density	breast_cancer	celiac_disease	cholesterol	chronic_kidney_disease	colorectal_cancer	c-reactive_protein	fasting_plasma_glucose	height	hematological_parameters	hypertension	inflammatory_bowel_disease	mean_corpuscular_volume	mean_platelet_volume	menarche_age_at_onset	menopause_age_at_onset	metabolic_syndrome	metabolic_traits	metabolite_levels	multiple_sclerosis	myocardial_infarction	parkinsons_disease	phospholipid_levels_plasma	platelet_counts	primary_biliary_cirrhosis	prostate_cancer	psoriasis	pulmonary_function	qt_interval	rheumatoid_arthritis	triglycerides	type_1_diabetes	type_2_diabetes	ventricular_conduction	vitiligo
B_Lymphocyte	1.0	0.263663764716	-0.385818164001	-0.2394686187	1.0	-0.805466102571	0.75235200886	0.189833874692	0.786703562473	-0.338109849439	0.0512264109069	0.99146296069	-0.0617903405864	-0.338109849439	0.592739291462	-1.0	-0.795389437552	0.756428464439	0.601396365998	1.0	-0.851906177881	0.572478958472	-0.162516700868	-0.895966566999	0.0866860328884	0.138928211466	-0.555183765427	1.0	-0.0456626544492	-0.770040439772	-1.0	1.0	0.53037037776	-0.828599693861	0.189833874692	-0.648422726664	-0.031895402122	0.111619182396
Fibroblast	-0.748794959663	0.0613024125854	-0.0342623645348	-0.628359771089	-0.399203594741	0.041526236221	-0.944863695305	0.113102147735	0.399550072065	-0.748794959663	0.0398279801581	-0.112507886571	-0.0598818792855	-0.179054761595	0.442397994858	0.504146654125	-0.786811496666	0.113622065565	0.279932155618	0.661116365165	1.0	0.230647082278	-0.83527467942	-0.521434781572	0.504146654125	0.442774200542	-0.338274291403	1.0	1.0	-0.126774913624	-0.819219543807	1.0	1.0	0.823756283336	-1.0	-0.628359771089	-0.0506114679552	1.0
Chorionic_villus_cell_line	-1.0	0.229561654608	-0.392758892106	-1.0	-1.0	-1.0	1.0	1.0	0.11974177411	0.359414178003	-1.0	-1.0	0.00968679860701	-1.0	0.321009724038	0.33006796888	0.488394806022	-1.0	0.488394806022	-1.0	-1.0	0.414407347692	0.312028321928	-0.619109567918	-1.0	-1.0	-0.622403964387	0.488394806022	-1.0	0.414407347692	-1.0	-1.0	0.359414178003	1.0	0.246002588476	-1.0	-1.0	0.488394806022
Amniotic_fluid_cell_line	0.501283866057	-0.38954787888	-0.258483671642	-0.631174623708	0.595940992823	-1.0	-0.356428776766	0.0529411438861	-0.615762755439	0.501283866057	0.595940992823	0.831786873899	0.535031574369	-1.0	0.588094220881	-1.0	0.00199068010717	-0.251342688057	-1.0	-1.0	-0.40941636242	-1.0	0.690394215128	0.671235778687	0.116684593739	-1.0	0.0887596675395	-1.0	-1.0	-1.0	-0.38954787888	0.0403757042298	-1.0	-0.390694521171	0.176868444095	0.366598135452	-1.0	0.264797343768
1_Active_Promoter	-1.0	-1.0	0.547049642364	-1.0	-1.0	-1.0	-1.0	-1.0	0.297975299796	0.222805421701	-1.0	0.72767921766	-1.0	-1.0	-0.389954608928	-1.0	-1.0	-1.0	0.315658541615	0.11806343476	-1.0	0.261298186261	0.00288306666846	-1.0	-1.0	-1.0	0.484230271162	-1.0	-1.0	-1.0	-1.0	-1.0	0.222805421701	0.428103056483	0.428103056483	0.0773862559658	-1.0	-1.0
14_RepetitiveCNV	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2_Weak_Promoter	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.128769396759	-1.0	-1.0	0.187326739085	-1.0	-1.0	-1.0	0.303762055949	0.152637602453	-1.0	0.283792740768	-1.0	-1.0	0.0458293461065	0.187326739085	-1.0	0.152637602453	-1.0	-1.0	0.128769396759	-1.0	-1.0	-1.0	-1.0	-1.0
4_Strong_Enhancer	-1.0	0.181112490461	-0.623898956688	-1.0	-1.0	0.128366945774	-0.407308706229	-1.0	-1.0	0.31649424572	-1.0	0.404739234941	0.342189950768	-1.0	-1.0	-1.0	-1.0	-0.620409953639	-1.0	-1.0	-0.618767601268	-1.0	1.0	0.22259604353	-1.0	-1.0	0.250731708648	0.000116034412867	-1.0	0.069821925365	-1.0	-1.0	0.31649424572	-1.0	0.194808643363	-1.0	-1.0	0.435946353865
11_Weak_Txn	-1.0	0.534023569429	-1.0	-0.33783457161	1.0	0.727597286824	-0.288614609883	0.551215624168	-1.0	-0.373012643285	-0.234244877775	0.945270327117	0.211977524244	-0.373012643285	-0.851706398567	0.627997848007	0.256834835883	-0.788280835498	-1.0	-1.0	1.0	-0.231511288892	0.570186411646	0.769504296588	-1.0	-0.155234910642	-1.0	-1.0	0.100231024776	0.399752587744	-0.344069460834	0.399752587744	-0.373012643285	0.00223905590482	0.118874663759	0.180514268967	-1.0	-0.71052589507
10_Txn_Elongation	-1.0	-0.245874260823	-0.513058890005	-1.0	-1.0	-1.0	0.593410998788	-0.248855123824	-1.0	-1.0	-0.619412116582	-0.852475390941	-0.611848693361	-1.0	0.476179458034	0.570175535589	-1.0	-0.50463929389	0.00723929664731	-1.0	0.279414846335	-1.0	0.279414846335	0.465472778542	-1.0	0.0129411779807	-1.0	-0.385511682932	-0.16063768009	0.016565041461	0.71013724395	0.290621425267	0.608908153159	-0.71234712519	1.0	-0.401785103043	0.235549252014	0.00723929664731
3_Poised_Promoter	-1.0	-1.0	-1.0	0.0235148514851	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
12_Repressed	0.494589689762	-1.0	0.139013044977	-1.0	-1.0	-0.619827706594	-0.761487378742	0.650130458546	0.232542011525	0.494589689762	0.20760442259	0.829213770105	-1.0	-1.0	0.583719282699	-1.0	1.0	-1.0	-0.615787719877	-1.0	-1.0	-1.0	-1.0	0.0163820948912	-1.0	-1.0	-1.0	-0.615787719877	-0.249180214439	-1.0	0.0428849611534	-1.0	0.494589689762	0.169983594083	0.650130458546	0.357757002506	0.357757002506	-0.615787719877
9_Txn_Transition	-1.0	-1.0	0.528525287368	-1.0	-1.0	0.335444924585	-1.0	0.0915042840016	-1.0	-1.0	-1.0	-0.495572581015	-1.0	0.212828597846	0.645672589789	0.193653909844	-1.0	-1.0	0.302396110251	-1.0	0.46665489377	-1.0	0.121795623512	-1.0	-1.0	-1.0	0.121795623512	0.302396110251	-1.0	-1.0	0.397144916956	-1.0	-1.0	-1.0	-1.0	-1.0	0.36700674431	-1.0
